0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
6,Block,8,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
7,Block,8,Face,5,Pattern,BlackSquare,action,GoToFaceFive
8,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
9,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
10,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
11,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
12,Block,6,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
13,Block,6,Face,5,Pattern,BlackSquare,action,GoToFaceFive
14,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
16,Block,5,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
17,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
18,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
19,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
20,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
21,Block,4,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
22,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
23,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
24,Block,3,Face,1,Pattern,BlackTopLeftCornerSquare,action,RotateLeft
25,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
26,Block,3,Face,5,Pattern,BlackSquare,action,RotateRight
27,Block,3,Face,5,Pattern,BlackSquare,action,RotateRight
28,Block,3,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
29,Block,3,Face,5,Pattern,BlackSquare,action,GoToFaceFive
30,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
31,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
32,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
33,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
34,Block,2,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
35,Block,2,Face,5,Pattern,BlackSquare,action,GoToFaceFive
36,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
37,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
38,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
39,Block,1,Face,2,Pattern,WhiteSquare,action,RotateLeft
40,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
41,Block,1,Face,5,Pattern,BlackSquare,action,RotateLeft
42,Block,1,Face,5,Pattern,BlackSquare,action,RotateLeft
43,Block,1,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
44,Block,1,Face,6,Pattern,BlackTopLeftCornerSquare,action,RotateRight
45,Block,1,Face,5,Pattern,BlackSquare,action,GoToFaceFive
46,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
47,Block,1,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
48,Block,1,Face,3,Pattern,WhiteSquare,action,RotateLeft
49,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
50,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,GoToFaceOne
0,puzzle_name,puzzle_c,face_search,random_search,puzzle_piece_search,sequential_search,memory_loss_factor,0.5,memory_loss_counter_limit,3,glance_factor,0.32
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,4,Pattern,BlackSquare,action,GoToFaceFour
4,Block,9,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
5,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
6,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 170)
7,Block,8,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
8,Block,8,Face,2,Pattern,WhiteSquare,action,RotateLeft
9,Block,8,Face,2,Pattern,WhiteSquare,action,RotateLeft
10,Block,8,Face,1,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceOne
11,Block,8,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
12,Block,8,Face,2,Pattern,WhiteSquare,action,RotateLeft
13,Block,8,Face,2,Pattern,WhiteSquare,action,RotateLeft
14,Block,8,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
15,Block,8,Face,3,Pattern,WhiteSquare,action,RotateRight
16,Block,8,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
17,Block,8,Face,6,Pattern,BlackBottomRightCornerSquare,action,RotateLeft
18,Block,8,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
19,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
20,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
21,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
22,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
23,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
24,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
25,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
26,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
27,Block,5,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
28,Block,5,Face,4,Pattern,BlackSquare,action,GoToFaceFour
29,Block,5,Face,6,Pattern,BlackBottomLeftCornerSquare,action,GoToFaceSix
30,Block,5,Face,3,Pattern,WhiteSquare,action,GoToFaceThree
31,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
32,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
33,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
34,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
35,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
36,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
37,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
38,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
39,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
40,Block,2,Face,5,Pattern,BlackSquare,action,GoToFaceFive
41,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
42,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
